X--Trace 1::[V(vout)],Y--Trace 1::[V(vout)]
0.004691945,-0.305120967
0.004716945,-0.33307258
0.004741945,-0.349843548
0.00475,-0.353594159
0.00475,-0.353594152
0.00475,-0.353594038
0.004750001,-0.353593209
0.004750001,-0.353592062
0.004750001,-0.353591761
0.004750001,-0.353591285
0.004750002,-0.353591102
0.004750002,-0.353592523
0.004750002,-0.35359287
0.004750002,-0.353593565
0.004750002,-0.353594954
0.004750003,-0.353597733
0.004750004,-0.353603292
0.004750006,-0.353614408
0.00475001,-0.353636639
0.004750018,-0.353681095
0.004750035,-0.353769987
0.004750067,-0.353947682
0.004750133,-0.354302723
0.004750264,-0.355011411
0.004750526,-0.356423227
0.004751051,-0.359224771
0.004752099,-0.364740643
